분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,1100고지습지,1100고지습지 람사르습지,1100고지습지,33.35801935,126.4636297,제주특별자치도 서귀포시 색달동 산 1-1
자연,가마오름,가마오름,가마오름,33.30556183,126.2471064,제주특별자치도 제주시 한경면 청수리 1202
자연,가메창,가메창,가메창,33.3297625,126.2485824,제주특별자치도 제주시 한경면 저지리 1469
자연,가세오름,가세오름,가세오름,33.33218176,126.7812926,제주특별자치도 서귀포시 표선면 토산리 산 2
자연,가시오름,가시오름,가시오름,33.24668558,126.243311,제주특별자치도 서귀포시 대정읍 동일리 1706
자연,가파도,가파도,가파도,33.16975363,126.2713021,제주특별자치도 서귀포시 대정읍 가파리
자연,갈마못,갈마못,갈마못,33.38806599,126.8085037,제주특별자치도 서귀포시 성산읍 삼달리 2257-10
자연,감낭오름,감낭오름,감낭오름,33.32456895,126.3501946,제주특별자치도 서귀포시 안덕면 동광리 산 41
자연,갑선이오름,갑선이오름,갑선이오름,33.36086847,126.7816506,제주특별자치도 서귀포시 표선면 가시리 산 2
자연,강정천,강정천,강정천,33.23266591,126.4894282,제주특별자치도 서귀포시 강정동 5647
자연,개오름,개오름,개오름,33.42270533,126.7718105,제주특별자치도 서귀포시 표선면 성읍리 2974
자연,개오리오름,개오리오름,개오리오름,33.42667412,126.6126196,제주특별자치도 제주시 봉개동 산 78-1
자연,갯거리오름,갯거리오름,갯거리오름,33.37576932,126.2928172,제주특별자치도 제주시 한림읍 명월리 15
자연,거린사슴,거린사슴,거린사슴,33.30963046,126.4542576,제주특별자치도 서귀포시 대포동 산 2-1
자연,거문오름,거문오름,거문오름,33.45471604,126.7182865,제주특별자치도 제주시 조천읍 선흘리 산 102-1
자연,거미오름,거미오름,거미오름,33.44893905,126.8036765,제주특별자치도 제주시 구좌읍 종달리 산 70
자연,거슨세미,거슨세미,거슨세미오름,33.45017515,126.7601054,제주특별자치도 제주시 구좌읍 송당리 산 145
자연,검멀레해변,검멀레해변,검멀레해변,33.49717101,126.9669025,제주특별자치도 제주시 우도면 연평리
자연,고근산,고근산,고근산,33.2667657,126.5128678,제주특별자치도 서귀포시 서호동 1286-1
자연,곽지과물해변,곽지해수욕장,곽지해수욕장,33.45065751,126.3046732,제주특별자치도 제주시 애월읍 곽지리 1565
자연,광치기해변,광치기해변,광치기해변,33.45208646,126.9244905,제주특별자치도 서귀포시 성산읍 오조리
자연,괴오름,괴오름,괴오름,33.35849651,126.3794884,제주특별자치도 제주시 애월읍 봉성리 산 41
