분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,함덕서우봉해변,함덕해수욕장,함덕해수욕장,33.54306157,126.6692389,제주특별자치도 제주시 조천읍 함덕리 1004-10
자연,협재굴,한림공원 협재굴,한림공원 협재굴,33.38704177,126.2401585,제주특별자치도 제주시 한림읍 협재리
자연,협재해변,협재해수욕장,협재해수욕장,33.39386608,126.2391575,제주특별자치도 제주시 한림읍 협재리 2447
자연,형제섬,형제섬,형제섬,33.210496,126.314392,제주특별자치도 서귀포시 안덕면 사계리
자연,혼인지,혼인지,혼인지,33.41519517,126.8937741,제주특별자치도 서귀포시 성산읍 온평리 1693
자연,화순금모래해변,화순금모래해수욕장,화순금모래해수욕장,33.24003243,126.3335893,제주특별자치도 서귀포시 안덕면 화순리 833-2
자연,황우지해안,황우지해안,황우지해안,33.24146718,126.5505278,제주특별자치도 서귀포시 천지동 765-7
자연,후곡악,후곡악,후곡악,33.42941565,126.8267317,제주특별자치도 서귀포시 성산읍 수산리 4504
자연,흙붉은오름,주체오름,주체오름,33.49170709,126.7475905,제주특별자치도 제주시 구좌읍 덕천리 864
체험관광지,갈중이,농업회사법인 주식회사갈중이,갈중이,33.2350986,126.3136584,제주특별자치도 서귀포시 안덕면 사계리 113
체험관광지,교래삼다수마을,교래삼다수마을,교래삼다수마을,33.43125455,126.6783221,제주특별자치도 제주시 조천읍 교래리
체험관광지,다이나믹메이즈,다이나믹메이즈 에피소드3,제주다이나믹메이즈,33.39915757,126.785287,제주특별자치도 서귀포시 표선면 성읍리 2381
체험관광지,다희연,다희연 동굴의다원,다희연,33.48445045,126.7079384,제주특별자치도 제주시 조천읍 선흘리 600-12
체험관광지,도순다원,설록다원도순,도순다원,33.27307489,126.4828604,제주특별자치도 서귀포시 도순동 1-1
체험관광지,동광리농촌체험마을,동광농촌체험마을 캠핑장,동광리농촌체험마을,33.30670174,126.3370427,제주특별자치도 서귀포시 안덕면 동광리 976
체험관광지,두맹이골목,두맹이골목,두맹이골목,33.512323,126.533792,제주특별자치도 제주시 일도이동 1006-11
체험관광지,마린파크,마린파크,마린파크,33.24081399,126.3347422,제주특별자치도 서귀포시 안덕면 화순리 823
체험관광지,번개과학체험관,번개과학체험관,번개과학체험관,33.28952673,126.5888397,제주특별자치도 서귀포시 토평동 1799
체험관광지,사진놀이터,사진놀이터,사진놀이터,33.45675002,126.4417351,제주특별자치도 제주시 애월읍 광령리 100-3
체험관광지,서귀포가시리마을,가시리마을,가시리마을,33.38307571,126.7329447,제주특별자치도 서귀포시 표선면 가시리 산 41-3
체험관광지,서귀포알토산마을,알토산정보화마을,알토산정보화마을,33.30880507,126.7796586,제주특별자치도 서귀포시 표선면 토산리 537-3
체험관광지,서귀포예래생태마을,예래생태마을,예래생태마을,33.24934513,126.3929145,제주특별자치도 서귀포시 상예동 1307
체험관광지,서귀포용왕난드르마을,용왕난드르 향토음식체험장,용왕난드르,33.23542086,126.3669438,제주특별자치도 서귀포시 안덕면 창천리 876-1
체험관광지,서프라이즈테마파크,서프라이즈테마파크,서프라이즈테마파크,33.46516535,126.6595954,제주특별자치도 제주시 조천읍 와흘리 2988
체험관광지,성이시돌목장,성이시돌목장,성이시돌목장,33.34776988,126.3273211,제주특별자치도 제주시 한림읍 금악리 142
체험관광지,아홉굿마을,낙천아홉굿마을,낙천아홉굿마을,33.32760549,126.2267772,제주특별자치도 제주시 한경면 낙천리 1916
체험관광지,어멍아방잔치마을,어멍아방잔치마을,어멍아방잔치마을,33.36190453,126.840566,제주특별자치도 서귀포시 성산읍 신풍리 500-1
체험관광지,이상한나라의앨리스,제주거울미로 이상한나라의 앨리스,제주이상한나라의앨리스,33.2889975,126.3216275,제주특별자치도 서귀포시 안덕면 서광리 717-3
체험관광지,이중섭문화거리,이중섭거리,이중섭거리,33.24565245,126.564181,제주특별자치도 서귀포시 서귀동 512
체험관광지,점보빌리지,점보빌리지,점보빌리지,33.27627648,126.3051056,제주특별자치도 서귀포시 안덕면 서광리 2351
체험관광지,제주동백마을,제주동백마을,제주동백마을,33.32038818,126.7451815,제주특별자치도 서귀포시 남원읍 신흥리 1759-2
체험관광지,제주명도암참살이마을,명도암참살이마을,명도암참살이마을,33.46249479,126.6062988,제주특별자치도 제주시 봉개동 270-3
체험관광지,제주서광다원,제주서광다원,제주서광다원,33.3083756,126.3067324,제주특별자치도 서귀포시 안덕면 서광리 1203-14
체험관광지,제주유수암마을,유수암마을,유수암마을,33.4413234,126.4027651,제주특별자치도 제주시 애월읍 유수암리 1892-1
체험관광지,제주청수마을,청수마을,청수마을,33.31807493,126.2475176,제주특별자치도 제주시 한경면 청수리 1572-3
체험관광지,제주초콜릿랜드,초콜릿랜드,초콜릿랜드,33.24940041,126.4134525,제주특별자치도 서귀포시 색달동 2864-36
체험관광지,제주도예촌,제주도예촌,제주도예촌,33.26491551,126.235551,제주특별자치도 서귀포시 대정읍 영락리 1
체험관광지,제주마방목지,제주마방목지,제주마방목지,33.42725344,126.6030774,제주특별자치도 제주시 용강동 산 14-34
체험관광지,제주선인장마을,제주선인장마을,제주선인장마을,33.37518805,126.2157223,제주특별자치도 제주시 한림읍 월령리 417
체험관광지,제주탐나라공화국,제주탐나라공화국,제주탐나라공화국,33.33371704,126.326905,제주특별자치도 제주시 한림읍 금악리 81-9
체험관광지,제주허브동산,제주허브동산,제주허브동산,33.32968333,126.8151318,제주특별자치도 서귀포시 표선면 표선리 2608
체험관광지,제주힐링명상센터,무병장수테마파크,무병장수테마파크,33.39556313,126.3610086,제주특별자치도 제주시 애월읍 어음리 49
체험관광지,조랑말체험공원,조랑말체험공원,조랑말체험공원,33.38309728,126.7362849,제주특별자치도 서귀포시 표선면 가시리 3149-33
체험관광지,주식회사제이엠그랑블루요트,제이엠그랑블루요트,제이엠그랑블루요트,33.23825046,126.4395518,제주특별자치도 서귀포시 대포동 2184-15
체험관광지,하도어촌체험마을,하도어촌체험마을,하도어촌체험마을,33.52003178,126.9040529,제주특별자치도 제주시 구좌읍 하도리 22-10
체험관광지,혼인지마을,혼인지마을,혼인지마을,33.40551642,126.9038478,제주특별자치도 서귀포시 성산읍 온평리 956-1
건축/조형물,새섬새연교,새연교,새연교,33.23853254,126.558886,제주특별자치도 서귀포시 서홍동 707-4
건축/조형물,선임교,선임교,선임교,33.25164578,126.4169744,제주특별자치도 서귀포시 중문동
건축/조형물,제주해녀항일운동기념탑,제주해녀 항일운동기념공원 제주해녀항일운동기념탑,제주해녀항일운동기념탑,33.5216489,126.863349,제주특별자치도 제주시 구좌읍 상도리 471-32
문화/예술/역사,관덕정,관덕정,관덕정,33.51334915,126.5214571,제주특별자치도 제주시 삼도2동 983-1
문화/예술/역사,관음사,관음사,관음사,33.42374026,126.5581237,제주특별자치도 제주시 아라일동 387
문화/예술/역사,금룡사,금룡사,김녕금룡사,33.553911,126.753563,제주특별자치도 제주시 구좌읍 김녕로 148-11
